Category,Item,QOH,Cost Value,Total Cost Value,Retail Value,Total Retail Value
COORS LIGHT,COORS LIGHT 2/12 PK 12 OZ CAN CASE,36,0.74,26.64,22.79,820.44
,Total,670,,$5323.57,,$15552.8
GENESSE,,,,
GENESSE,GENESEE 30 PACK,24,11.15,267.60,14.49,347.76
GENESSE,GENESEE LIGHT  30 PACK,17,11.15,189.55,14.49,246.33
GENESSE,GENESEE ICE  30 PACK,26,11.49,298.74,14.49,376.74
GENESSE,GENESEE NA 30 PACK,12,11.19,134.28,14.49,173.88
,Total,79,,$890.17,,$1144.71
KEYSTONE,,,,
KEYSTONE,KEYSTONE LIGHT30 PACK,40,14.78,591.20,18.99,759.60
KEYSTONE,KEYSTONE LIGHT 16OZ 18 PACK,32,12.35,395.20,15.99,511.68
,Total,72,,$986.4,,$1271.28
KILLIANS,,,,
KILLIANS,KILLIANS RED 2/12 PK NR CASE,120,0.92,110.40,29.99,3598.80
,Total,120,,$110.4,,$3598.8
LIONSHEAD,,,,
LIONSHEAD,LIONS HEAD 12OZ NR,9,12.49,112.41,16.99,152.91
LIONSHEAD,LIONS HEAD LIGHT 12OZ NR,7,12.36,86.52,16.99,118.93
LIONSHEAD,LIONS HEAD 12OZ CAN LOOSE CASE,4,10.62,42.48,14.99,59.96
,Total,20,,$241.41,,$331.8
LITE,,,,
LITE,LITE 12 OZ NR LOOSE CASE,48,18.08,867.84,23.49,1127.52
LITE,LITE 7OZ NR,3,13.32,39.96,15.59,46.77
LITE,LITE  30 PACK,114,18.65,2126.10,23.79,2712.06
LITE,LITE 16 OZ CAN 4/6 PK  CASE,300,0.90,270.00,27.69,8307.00
LITE,LITE 8 OZ CAN,6,12.21,73.26,15.69,94.14
LITE,LITE ALUM. 18 PKCASE,171,0.93,159.03,21.79,3726.09
LITE,LITE 10 OZ CAN,11,13.20,145.20,17.29,190.19
LITE,LITE 16OZ 18 pack CANS,24,13.97,335.28,18.29,438.96
LITE,LITE NR 12 PACK,22,10.08,221.76,13.69,301.18
LITE,BECK  16 OZ CAN 6/4 PK CASE,216,0.90,194.40,26.99,5829.84
LITE,LITE 4/6 PK NR CASE,168,0.84,141.12,26.39,4433.52
LITE,LITE 24 OZ CAN CASE,38,1.40,53.20,24.99,949.62
,Total,1121,,$4627.15,,$28156.89
MICHELOB,,,,
MICHELOB,MICHELOB  2/12 PK NRCASE,36,0.84,30.24,26.49,953.64
MICHELOB,MICHELOB 30 PK,3,20.59,61.77,26.69,80.07
MICHELOB,MICH. ULTRA 2/12 PK NR CASE,672,0.83,557.76,26.49,17801.28
MICHELOB,MICH. ULTRA 30 PACK,73,19.12,1395.76,26.69,1948.37
MICHELOB,MICHELOB LIGHT 30 PACK,1,20.55,20.55,26.69,26.69
MICHELOB,MICHELOB AMB BOCK 2/12 PK NR CASE,84,0.86,72.24,26.49,2225.16
MICHELOB,MICH. ULT. 3/8PK 16 OZ CASE,348,0.84,292.32,36.49,12698.52
MICHELOB,KIRIN ICHIBAN 4/6 PK NR CASE,84,1.18,99.12,39.89,3350.76
MICHELOB,MICH. UL.  AMB.2/12 PK NR CASE,96,0.85,81.60,26.49,2543.04
MICHELOB,MICHELOB LIGHT12 OZ NR 2/12 PK CASE,132,0.85,112.20,26.49,3496.68
MICHELOB,MICH. ULTRA 12OZ  CAN 18 PK,21,12.70,266.70,16.79,352.59
MICHELOB,MICH. ULTRA12 OZ  NR 18 PK,16,12.70,203.20,15.99,255.84
MICHELOB,MICH. ULT. ALLUMN  3/8 PK CASE,220,1.13,248.60,39.39,8665.80
,Total,1786,,$3442.06,,$54398.44
MICKEY,,,,
MICKEY,MICKEY MALT 12OZ NR,7,18.80,131.60,24.49,171.43
,Total,7,,$131.6,,$171.43
MILLER,,,,
MILLER,MGD 12OZ NR LOOSE CASE,240,0.75,180.00,23.58,5659.20
MILLER,MGD 30 PACK,8,18.65,149.20,24.79,198.32
MILLER,MILLER   64  12OZ NR LOOSE CASE,96,0.76,72.96,23.58,2263.68
MILLER,MILLER HIGHLIFE 12OZ NR LOOSE CASE,11,14.35,157.85,21.29,234.19
