Item Type,SKU,Item Name,QOH,Selling Price,Unit Per Case,Department,Category,Size
Standard,045243913151,SPRECHER CHIPS,0,2.99,1,NON TAXABLE MISC,SNACKS,
Standard,WOL,WOLFGANG CHOC. PRETZEL RODS,0,0.99,1,NON TAXABLE MISC,SNACKS,
Standard,680569346933,RIGHTEOUS FELOW VBIG JERKY,0,6.89,1,NON TAXABLE MISC,SNACKS,
Standard,680569346902,RIGHTEOUS FELOW HAB ESCOBAR,0,6.89,1,NON TAXABLE MISC,SNACKS,
Standard,680569346926,RIGHTEOUS FELOW O G HICKORY,0,6.89,1,NON TAXABLE MISC,SNACKS,
Lot Matrix,082657500638,WATER ,97,6.99,40,NON TAXABLE MISC,WATER,
Standard,068274298776,WATER Case,0,6.99,1,NON TAXABLE MISC,WATER,
Standard,p20,PALLET 20,4,20.00,1,NONSALE,,
Standard,P10,PALLET 10,0,10.00,1,NONSALE,,
Standard,P15,PALLET 15,-2,15.00,1,NONSALE,,0
Standard,FUELCHG,FUEL CHARGE,45,0.00,1,NONSALE,FUEL CHARGE,
Lot Matrix,HOFO66,HOFBRAU OCTOBER. 12 NR CASE,0,42.19,24,OCTOBERFEST,OCTOBERFEST,U16
Standard,711556022506,ERDINGER OKTDO NOT ORDER2010,0,37.89,1,OCTOBERFEST,OCTOBERFEST,U16
Lot Matrix,SARANAC OCT,SARANAC OCTOBERFEST  12 OZ NR,0,29.19,24,OCTOBERFEST,OCTOBERFEST,U16
Lot Matrix,014974200021,WOODCHUK PUMPKIN 12OZ NR,0,46.79,24,OCTOBERFEST,OCTOBERFEST,U16
Lot Matrix,TJ66,TRAVELERS JACK O PUMPKIN CASE,0,37.99,24,OCTOBERFEST,OCTOBERFEST,U16
Standard,887151001670,TRAVELERS JACK O PUMPKIN 12 PK,0,19.99,1,OCTOBERFEST,OCTOBERFEST,U16
Lot Matrix,094254000145,POST ROAD PUMPKIN,0,29.39,24,OCTOBERFEST,OCTOBERFEST,U16
Lot Matrix,SAO50,SAM ADAMS OKTOBERFEST 1/2 BARR,0,189.99,1,OCTOBERFEST,OCTOBERFEST,B12
Lot Matrix,088394000127,SPATEN OCTOBERFEST,48,43.99,24,OCTOBERFEST,OCTOBERFEST,U16
Lot Matrix,085725416084,SAM SMITH ORG. CHOC.STOUT6/4 PK CASE,0,66.29,24,BEER IMPORT,,U16
Lot Matrix,085725415285,SAM SMITH ORGANIC PALE ALE 6/4 PK CASE,48,68.00,24,BEER IMPORT,,U16
Lot Matrix,POV66,PEAK ORGANIC VARIETY CASE,0,19.99,24,ORGANIC,ORGANIC,U16
Standard,780369502123,PEAK ORGANIC VARIETY 12 PK,0,23.29,1,ORGANIC,ORGANIC,U16
Lot Matrix,UOV66,UINTA  ORGANIC  VARIETY CASE,0,37.99,24,ORGANIC,ORGANIC,U16
Lot Matrix,709326024041,UINTA  BAA BAA BLACKSHEEP,0,37.99,24,ORGANIC,ORGANIC,U16
Standard,709326027011,UINTA  ORGANIC  VARIETY12  PK,0,20.99,1,ORGANIC,ORGANIC,U16
Lot Matrix,U3 P66,UINTA  3 PHILASOPHY CASE,0,112.61,24,ORGANIC,ORGANIC,U16
Standard,T30,TAP RENTAL,-7,5.00,1,RENTAL EQUIPMENT,RENTAL EQUIPMENT,
